question,answer
在安大新传就读新闻学是怎样一种体验？, 安徽大学(Anhui University)是国家“211工程”重点建设高校，是安徽省人民政府与教育部共建高校，安徽省属重点综合性大学。作为安徽现代高等教育开端，学校1928年创建于当时省会安庆市。抗战期间，学校被迫西迁，并一度流散，1946年复校，为国立安徽大学。1949年12月迁至芜湖，几经调整，学校于1956年迁建合肥市，1958年全面恢复招生。伴随着我国改革开放和现代化建设的伟大进程，学校进入历史上发展最快最好的时期，尤其是进入国家“211工程”高校建设行列之后，更是实现了跨越式的发展。   师资队伍及科研潜力：         作为中国新闻教育改革的探索者和践行者，安徽大学新闻传播学院筚路蓝缕，已走过数十年不平凡的发展历程，是改革开放后最早设立新闻学科的院校之一。1980年，安徽大学经安徽省教委（现教育厅）批准开办新闻学专业；1984年，经国家教委（现教育部）批准设立新闻学专业；1998年，学校根据本省对新闻人才的实际需求以及新闻专业自身发展的需要，将新闻专业从中文系分出，成立安徽大学新闻学系；2003年，安徽大学与安徽日报报业集团合作共建，成立安徽大学新闻传播学院。      学院拥有一支年龄结构、学历结构和学缘结构合理的师资队伍。在2012年教育部学科水平评估中，本学科点“师资队伍与资源”一级指标全国排名第13位，其中“专家团队”二级指标排名第10位。本院现有教职工55人，其中专任教师41人，教授8人、副教授12人、讲师19人。专任教师中21人拥有博士学位，博士在读5人，有博士生导师4人，硕士生导师20人。专家团队中包括“教育部新世纪优秀人才”2人，“全国优秀教师”1人，“安徽省学术技术带头人”1人，“安徽省学术技术带头人后备人选”2人。   专业方向划分：不区分研究方向  报考时专业方向填写说明：        安徽大学新闻传播专业报考时不区分研究方向，如果你哪个个专业感兴趣，可以在选择导师时选择研究你感兴趣专业的导师，比如你喜欢广告，你可以选择广告学的老师，喜欢新闻，可以选择研究新闻学的老师。不过即使你选择了研究广告学的老师，你毕业论文也可以写广电类的论文，安大这一点还是比较包容开放的。   安徽大学新闻传播专业特色         学院现有1个国家级实验教学示范中心“安徽大学新闻传播实验教学中心”，1个国家级特色专业（新闻学专业），1个安徽省人文社科重点研究基地“安徽大学舆情与区域形象研究中心”，1门国家级精品课“新闻学概论”，1门教育部精品视频公开课“当代媒介素养”。特别说明的是，安大每年的研究生论坛和舆情论坛都会请众多业界和学界大咖，像李良荣、喻国明、陈力丹、张志安都经常来学校与学生进行交流互动。   关于生活      新闻传播学院是在新校区——罄苑校区。新校区环境优美，基础设施健全，非常适合学生读书学习。研究生四人一间，有独立的卫生间和阳台，研究生院有专门的食堂，但是研究生食堂不太好吃，同学们喜欢到附近的榴园吃饭。最近安大的梅园食堂被重新装修了一番，古色古香的食堂非常引人注意，在微博上被称为“别人家的食堂”。     安大东门前面是翡翠湖，环境非常优美，穿过中间的桥就可以到合工大，许多同学都喜欢绕着翡翠湖散步，优美的景色，清晰的空气，散步其中十分惬意。如果你喜欢摄影和拍片的话，翡翠湖是你的绝佳选择之地。     安大西门是学校的主门，快递基本上都在那；学校对面是九龙街，街上有各种琳琅满门的小吃，足够可以满足作为一个吃货的你。中环城、万达和华润万象城也离学校不是太远，可以满足学生的日常购物。      总之在安大生活是一件很惬意的事，在这里学习是一件很开心的事，所以同学们一定要加油考过来！    关于未来——找到方向  至于未来的发展方向，就业还是读博，或者出国留学这个问题，笔者建议开学先适应一段时间，然后确定自己的方向，并为之不断的努力下去。现在传统媒体走下坡路，笔者学长学姐进传统媒体的不是太多，许多进了新媒体公司做运营、文案策划这块，笔者的学姐还有进入银行工作的。总之，读研期间，尽快确定自己的目标，不断地努力奋斗是实现自己人生价值的重要途径  还有更多可能性，等待你去挖掘，希望在安大的学习让你找到属于你自己的方向。 
安徽人 专科大一女生 商务英语专业 想自考安大英语专业值得吗 另外自考英语有哪些流程？,商务英语不太清楚，我今年二战安大语言学方向。
安大新区学校宿舍墙体长毛是为何？,泡沫填充物发霉了
求合租，安大新区附近小区，考研？,有意者可以联系qq847998078，谢谢
17安大会计专硕220有希望没？,没希望，今年240啊
四川安大体育用品有限公司和安踏什么关系？, 国内著名品牌“安踏”在四川的一级分销商。  
想考艺术类研究生专硕的，我不是美术生，还剩这4个多月，再考虑报北工业，安大，苏州大，辽大。谢谢?,个人认为，非美术生的话考艺术类研究生不是很容易，再来只有四个月了
苏大，安大，南京师范，有机化学考研哪一个更好？题主二本师范化学专业。,中国药科大学
有人知道安大校园里哪个公寓可以租住吗？外校考研的想在12月份过来租住,学校里的学生宿舍不外租，但是学校附近有小区可提供租房
本科安大，想考隔壁工大的计算机，不过听说工大这个专业比安大差，求教，顺便还有没有什么别的学校介绍一下？,中科大
安大和南师大新闻专硕哪个好一些？,南师大吧  在南师大新传院蹲了这么多年 对新闻的实力还是比较自信的 不过我是安徽人 今年在安徽省台实习的时候新媒体那边安大新闻人蛮多的 看你想去哪里发展吧  不过现在这个事态 学个吊的新闻 
安大和合工大的管理类学科哪个好点？,作为一个在安大管院生活了四年的人，我很负责任地说，在管院能够遇到一个不水的老师简直是小概率事件，当然好老师也有。工大不了解，但是如果你喜欢真实地学习知识，拒绝水的话，别来。当然，如果仅仅是想自学拿个学位的话，安大还是很自由的。
安徽大学，安徽师范大学，安徽农业大学，为什么要分裂呢？这可能是安大历史上划时代的，重建国立安徽大学了？,感觉这是一件大事啊，谁能回答呢  
安大新区有没有需要健身的朋友？有一张特优惠的健身卡转让？, 怎么联系 
我是安徽大学国际商学院的学生，也就是安大的专科。我该出国还是专升本？,去年学校体验项目去过格林威治大学，今年九月打算去那读本科最后一年，我虽然不是安徽大学的但是在那边有很多安徽大学的学长学姐，来接待我们的也是，格林威治是一所很棒的大学，排名低是因为学校是文科艺术类大学学校建筑楼等都是文物科研能力跟不上，学校还后面还有个旅游景点以及著名的格林威治天文台，个人觉得，我们去年在那体验了十天，那里的老师以及餐厅工作人员都非常友好，很有责任心，全程陪同的安徽大学学长也给我们留学了很棒的印象，他们现在有的继续留在格林威治读研究生有的作为跳板申请到了很棒的大学读研究生，比如雷丁大学 格拉斯哥 拉夫堡等等，我们今年九月去格林威治大学老师给的费用标准是一年20万元，包括了所有的费用当然具体生活费看个人花销，如果有条件这是一个不错的机会去看看世界去接受西方教育，虽然格林威治综合排名不是很高但是商学院排名还是可以的，国内排60左右如果我没记错…虽然不高，但只要拿到二等一学位，申请前三十的大学读研究生根本不是问题，当然最终决定还是在你～关于回国就业的问题企业要不要你我觉得完全取决于个人的实力，如果能在格拉斯哥这类大学毕业取得研究生学位我不相信进不到好的单位 ，总之留学说俗一点对于我们这种家庭不算富裕的来说就是为了以后的赚钱铺路，当然不是说一定就能比不出国的赚得多，总之人各有志～不管怎样都希望你成功 
本科安大，考研想考本校计算机专业，不知咋样？,我和你一样，也是安大想考本校计算机，但是我已经毕业了，想边工作边看书
安大附近的书店？,九龙街有一个书店，大概和体育馆相对的位置
请问安大考研教育学好考吗？,安徽大学教育学有几个专业啊
通信工程方面，安理工和安大的硕士哪个就业好些？,客观的说，211和非211就是天堑
如何评价安大版《南山南》？,安大，赞
中国科学技术大学（USTC）是否应该迁校？,文革中科大被迫迁出北京南下，没人敢收，时任安徽省长的李德生同志具有远大目光，身为河南人的他在河南、江西、湖南不愿接收的情况下容纳了中科大，落户安徽，其中种种艰辛转折不必赘述，除去中科大，安徽还有两所211院校，除了每省固定的一个名额给了安大，也有着60年代就被确立的重点大学合肥工业大学，这个比河南江西等省份只有一所要好很多，看看每年安徽省给科大的财政补贴再看看给亲儿子合工大、安大的你就会发现安徽省对科大是多么的照顾，北上广不乏名校，科大如果当年留在北京还是有很大的未知性能取得今天的成绩，试看当年南迁之后又回北京建立校区的中国地质大学、中国矿业大学，哪个能盖住科大的名头，我们以科大这所国字号的大学落户安徽为傲，可我们也承受了许多别人不敢承受的风口浪尖，再看科大给我们带来了什么，四大科教城市之一，三所国家实验室，高新区落户，这些都不重要，重要的是我帮过你，你不用感激我也有私心，但是请别太无情，患难才见真情，毕竟这么多年我们没有把你当做城市敛财提升知名度的手段，没有拿你做宣传，提及科大很多人依旧不知道在合肥，你要研究，我们给你支持，研究完了之后你拿去上海苏州的研究院照顾他省兄弟我们不生气，或许这座城市不够优秀，但是却待你别样好。
安徽大学英语专业怎么样？,好久没有回答问题了，把近期的首答献给母校。之所以回答这个问题，是因为刚才有个同学把这个问题的链接转到了我们的聊天群里，然后大家一起回忆往事，不胜唏嘘。  利益相关：十几年前上的安大英语，现在做翻译（笔译）  默认题主和其他关注此问题的知友是有意向报考安大英语的高中生。如果各位能够有更好的选择，并且想在若干年后成为一个牛逼的人， 请一定要努力，一定要选择一个更大的城市（北上广深、南京、杭州等等），考一个名气更响的大学 。你会有更多的机会，更大的舞台。年纪越大，试错的成本就越高，所以大家这么年轻，应该好好拼一把！我们这种大叔，想翻身已经挺难了。  当然，如果你时运不济，让安大英语成了最优选，并进入安大英语系就读，请接着往下看。   1. 排名： 安大英语，论排名的话，我不知道是否有权威的排名，总之是不高的，可能也就是中流水平吧。但是这不怪学生，排名有很多指标的，比如学术能力，安大英语确实不太行。   2. 生源： 安大英语的生源很好，我们那一届都是超一本线几十分进的。我理科生，全省排5000多名，按百分比的话，大概是前2.5%，这个成绩在英语专业当年招的理科生里面只能算中等。我的同学基本都是重点中学班级的前几名，或者普通中学年级的前几名。安大当年招的文理科第一名都在我们班，另外，当时有一个新生如果高考成绩超一本线50分的话可以转专业的规定，于是符合此条件 的80%新生都转到英语专业了（这其实是个悲剧）。大部分同学，如果不是因为过于保守或者估分低了，是可以上更好的学校的。所以， 安大英语系真是有一手好牌 。   3. 成绩： 专四专八通过率都非常高，专四接近100%，专八95%以上。不过安大老师不太热衷于让学生参加各种竞赛，所以竞赛成绩不突出，每隔几年会出一两个全国竞赛拿名次的人，不多。   4. 师资： 负责教学工作的老师应该说，学习能力都很强，博士也不少。但学术水平跟教学水平是不一样的， 学得好不一定教得好 。可能大部分老师在课堂上的表现，都不如你的高中老师或者新东方老师，请不要惊讶，大学里很多时候也是照本宣科。何况本系学生基本上都是高中的尖子生，自学能力也不差，一手好牌，想打烂也不容易。但是老师不会像高中老师那样关注你，基本上完课就回家了，因为我们在新区，老师的家都在市区。而且 学生的成绩好坏跟老师也没太大关系 ，他们没有教学压力。我能说我上英语专业课，有很多次是师生一起看电影度过的吗？！  负责管理的行政老师，经验不足，大一新生的辅导员基本上都是刚毕业的研究生，看你运气了。  有些同学，在高中时代很拔尖，各科老师都很关注，但上了大学却成为了小透明，而且成绩也变得一般了，有时会抑郁，想不开。有些内向的女同学就是这样，没有老师的关注，仿佛就无法正常学习和生活了。  总之，不要指望老师，有些老师可能教了你一年，都不知道你叫什么， 大家都是小透明 。   5. 活动： 应该说，活动挺多。比如各种体育和文艺比赛，学校也经常组织。不过 关于未来工作方面的活动可以说几乎没有 。与其他学校或国际上的交流活动也少之又少，即使有好的机会也都是给了精英们。不知道现在是什么情况，也许有改观吧。总之，安大英语的眼界不是很开阔，毕竟合肥是中部城市，不如沿海的外事活动多。   6. 毕业： 八个字概括， 自谋生路，自求多福 。安大英语的 考研率很高 ，我觉得能有50%的学生会在毕业当年或毕业一两年后考上研究生，北大清华这种名校也有，我们班当年考了两个清华的，但是上外北外这些外语院校是主流。  当然了，外交部，每年总会有考上的。我们那届有三个去了外交部，不过不是同一年进的。戴庆利，我就不说了，都讲烂了，可见安大英语这二十多年来也是没有出过什么高翻了。  剩下的主要是做外贸/外企（大部分去了江浙上海）、老师（培训、大专院校、中小学）、银行（多）、翻译（少）、编辑（少），或者是去做公务员，这个跟英语基本没关系了，当然也有做全职太太的。   7. 成就： 同学们才开始进入三十岁，成就不明显。做官的有副处级了。投行和四大里也有人。创业的很少，毕竟整个省的商业氛围不浓厚，学校和院系也很保守。大多数人都是普普通通的工薪阶层。 安大这种学校是培养中产阶级的，不是培养精英的 ，主要还是安徽省内自产自销。  暂时就想到这么多，以后有时间再讲一些关于安大英语的私货，比如恋爱什么的。
如何优雅地吐槽自己的母校？, 安徽大学：（211，您没听说过吧？哼~）   1、肥西高等专科学校。   2、翡翠湖西岸青年疗养中心。   3、部分安徽省人民可能都不知道的大学。   （作为一个北方人（华北），我上大学之前反正是没听说过安徽大学，至于为啥报了，阴差阳错）   注：   1、隔壁合工大的过来的话看在翡翠湖的面子上请点赞。毕竟安大给你们输送了那么多妹子。 2、南七技校的过来也请点赞，毕竟安大给你们输送了那么多妹子。  3、没错，就是这么不要脸。 ……………………………………………………………………………  补充于2017年1月6日：   1、这么没有存在感的回答（学校）居然有10来个赞了！可居然主要是靠着合工大的兄弟们给顶上来的！我也是醉了！知道我为啥要吐槽安大了吧？在知乎X格这么高的地方，安大的校友你们在哪里？   2、还有安徽师范大学（我知道贵校在安徽省内比安大还有名气），安徽财经大学，安徽农业大学等众院校，都来点赞吧！（不少都是奔着安大考研的吧）大伙儿该说了，这时候你想起来我们来啦，我们可不是什么985，211。没关系啊，我不在乎啊。我不要脸啊，我只要赞啊。  3、本奇葩的言论不代表安徽大学。我不要脸我承认啊，安大也没教过我这些啊。本人开的是女low咖视角，但是安大可一点儿都不low，宿舍还有空调呐~哎呀，这么说显得自己好low…  …………………………………………………………………………   补充于2017年1月10日：   1、承蒙各位厚爱，如此不要脸的答案居然已经有20多个赞了！作为一个知乎小白实在是有点儿小激动啊~   2、校友没炸出来，炸出了一帮合工大的汉子，合工大的汉子~你威武雄壮~~~   3、其实本来想顺带黑一下裤子大的，但看你科学子都那么低调，还是不黑了吧哈哈哈~反正也不稀得和我们玩~哼！主要是啥呢，安徽省内高校的名气主要还是靠你科，人类科技进步也得靠你科，所以呀，耐住寂寞好好学，实在耐不住寂寞了，可以来安大散散心，虽然老区没什么人了，但是欢迎来安大新区观光。工大汉子们也一样，雨露均沾~~~（近水楼台先得月嘛，我什么也没说……）   4、记得有句话说的是“学在科大，吃在工大，爱在安大”，上面我也是开玩笑而已，您看个乐就行了。大家都应该好好学习的。  5、各位评论的我就不一一回复了，出于礼貌我会给您回点个赞的。但是您别忘了给我点赞呀！还有只评论不点赞的，您也别评论了，我…也…不…想…看…你…来…咬…我…呀…哈…哈…哈…咦…真…不…要…脸…略…略…略   补充于2017年3月1日：  合工大的汉子们我真的给你们跪了哈哈哈！你们为我校的“知名度”的提升真的做出了非常大的贡献！啊哈哈哈哈哈哈！   补充于2017年5月5日：  1、万一有校友或者同院系的同学认出我来啦，请你不要联系我。谢谢。你可以在心里“评价我”，没关系的。但是如果你有什么建议的话，请你联系我，我知道我也只是在以一种拙劣的方式在骗赞而已。  2、凡是能看到此处的知友，如果你是安徽人，我不管你在哪上的大学，都请给我点赞好吗？安徽大学的生源大部分都是来自安徽省内，你说我一个外省生源在这里如此卖力（虽然看起来很笨吧），你们好意思不点赞吗？！能给安大骗来一些优秀的学弟学妹也是好的呀~  3、点过赞的还有即将要点赞的，都送你们么么哒哈~  4、我比较懒，不想上表情包……哎呀，我还是太笨了，连骗赞都不会。。。。。。 
在安徽大学就读是怎样一种体验？,。。。。。。。。。。。。。。。。。。。。 硬背景介绍：         安徽大学95年第一批入围211工程大学，教育部与安徽省共建，于1928年建校。学校老校区在市区；本科生在磬苑校区(新校区俯视像乐器磬)，与合工大翡翠湖校区隔湖相望。  安徽大学有26个院系，综合型大学，学术层次偏文科(但不是说安大的理工科就差，计算机就是国家重点)。没有医学院，也没有建筑学院，这对于综合性大学来说略有遗憾。  安徽大学保研率13.2％，全国高校排61。也就是说60人的班你考前8名就有推免资格。  安徽受徽州派和桐城派的影响，导致"安徽"这个招牌就自带文人气息浓厚buff。的确安大的中文系和外语学院一直很出名，也因此这几个学院和国际处在世界各地的孔子学院大行其道，托他们的福，安大这几年国际交流的项目也挺丰富。   曼彻斯特大学和数院、电院还有2+2项目，详细查询各院系官网。  安大新区的图书馆叫文典阁，取第一任校长刘文典先生名。一楼大厅会随机展艺术学院或者什么专业的作品展。每年圣诞节附近会有戏剧系的年度戏剧表演！！每次排队都是从教室倒博学南楼前。  另外安大的教室，是可以随便自习的，而且夏天就算教室只有你一个人，教室的空调你还是可以开的，所有的寝室也都有空调！  安大的校友在安徽是一个bug般的存在。上次意外发现我们市长是我校友，我们县长是我校友，我们县法院院长还是我校友，于是我很好奇查了下惊呼：省公安厅、林业厅、科技厅、财政厅、文化厅、环保厅、司法厅、监察厅、国土资源厅厅长省台办主任以及安徽诸多县市的领导都是我们安大校友，表示安徽政法系统是在安大法律系人才上建立的。当然安大这种偏人文的学校还有很多文化人物。  附全景航拍图   http://  720yun.com/t/a1a24j8fu4  6?pano_id=368261&amp;from=timeline&amp;isappinstalled=0         (我一开始以为翡翠湖是学校内的啊！)  
安徽大学怎么样啊？,安大到底有多“烂” 有些人很讨厌自己以前生活过的地方，因为有了更好的去处。  几个室友保研去了985。 其中一个保去了科大，此后就一刻没有停息过的抨击安大。“女人多的地方是非多，安大女生多，学习氛围和科大简直不能比，一些女生穿的样子晚上都不知道是去干什么”、“不是我保研去了科大就说科大好，安大真是垃圾中的战斗机，211里面就数安大垫底” 、“什么。湖北大学，山西大学，没怎么听过，反正比安大强，哈哈哈”...等等。 说起自己的家乡，也称“打死我也不会回到那个小地方，死也要死在某某大城市”…  她们也不是个别，其实我们整个班同学，从一踏入学校，就没停止对自己专业和学校的嘲笑。每当听到那句“国内一流，国外知名”的话，我们都笑抽了，哈哈哈，还国内一流…只不过后来有的人通过自己努力，保研去了人大浙大等，甚至有的还跨专业考上了北大的金融相关专业。  但安大不强确实是个事实；大学以后人分出了三六九等，有的人混的很好，有的人混的很差，这也是事实了。 还不都是凭个人能力么，没什么好说的。 之所以觉的不舒服，我之所以写这个帖子不也是因为自己没有考到更牛逼的学校么…在这里唧唧歪歪 想来，那些真的出色的人也不会计较这些。  只是，算是作为一个弱者吧，类似于我，或者安大，混的不是很好的这么一个角色， 作为一个曾经和“你”相处过的人，作为曾经给你提供大学四年生活学习的地方，为什么连一点点离别的尊敬都不会给。 你后来有了好去处，也是在安大图书馆挑灯夜战的无数日夜造就的， 虽然主要靠的是自己的努力，但它也是默默陪伴，容留你，供你日后腾达的基石地， 为何你要这么唾弃它？ 为什么连你最亲近的人，朝夕相处的室友都不诚心相待，而要去关心那些毫无关联的人？ 对其他人倒是表现出礼貌的样子，回到寝室却什么也容忍不了？  也许是没有资格说的人，我也是一个小肚鸡肠的人。 但是如今这样严格优胜劣汰的世界，只会逼着人自私。  不是说安大有多好，安大本来就不是什么名校！ 只是针对那些要毕业了，把安大骂的一文不值的人！ 有的人一直认为xxxx，那么牛逼怎么就只达上个安大，安大和名校的分数差距不是一点点吧 一所在一本分数线附近徘徊的学校（除了少数高分专业外），“你”怎么不说当初多错1、2题连安大也上不了！ 后来有差距，是靠自己的努力！ 当初“你”没填上这个垫底的211，那就连所谓保研外校的资格恐怕就没有！ 说全靠自己能耐，有能耐就去考呗，是金子在哪都发光不是吗！ 最后保研了，就忙不迭的更加嘲讽安大：“大学是场噩梦，我现在只憧憬研究生的生活”之类 还有一些失意的，直接说是安大把他毁了， 呵呵呵   骂它什么什么地方不好无可厚非， 作为排名靠后的学校，烂也有烂的理由。能指望安大事事让“您”满意，和北大一个管理水平？那也不是安大了吧！ 只是作为自己的母校， 离别时稍微有点尊敬好吧！ 骂的和狗屎一样，只能说“你”以前的水平也就是渣渣吧！
大学毕业晚会怎么设计泪点，一两个泪点就够了。?,回答这个问题，我想，还是以生活轨迹为主，肯定要和院里沟通出方案，毕竟会有学校的想法。 基调定准。 说到毕业，回想起大学四年，总会有很多感动，一群死党，一群“闺蜜”。重点是感动，采用什么风格的拍摄手法就见仁见智。 毕业于普通“211”大学，算不上一流大学。可是心存感激，毕竟每个人都有属于自己独一无二的故事。 整理毕业季，发现大三的时候写的文档，当时一个铁哥们，参军，不知道毕业的时候他能不能赶到。  --------------------------------------------------贴上-------------------------------------------------------------------       每每听到他人毁誉母校，心情错综，无以描绘其间心境于万一，无从强求，只为了四年时光， 即便它是兵荒马乱的，我们仍要心存感激，不是吗？       很多人被通俗的片语之言“爱在安大”所误解，一直认为我“爱在安大”真正的精髓，爱者，不独情爱，而是兼爱博爱！爱国爱民，爱家庭爱事业，爱天下可爱之人，爱天下可爱之物！      此乃安大人真性情，尽善尽美，臻于化境！   安大旅途  翡翠湖畔，刻骨铭心  至诚至坚，拓下文典阁之倒影  149站牌站立，如沙漠胡杨   旅途，是一生最初的苍老之草书   安大之魅，亦如墨香余味  落笔马良  三人同行，浅带深深，噙泪一鸣磬，余光间深深浅浅  四面奔波，脚步碎碎，客对姑苏弥新历久  此车厢，彼车厢，蜀山镶嵌  远离，挂牵，续读  摆摆摇摇，安大故事青春  善待旅途  识某人，记某段事，印某段情   风景、困惑、梦想、执著、希望、离别、幸福、彷徨、独行踽踽  留恋叠叠  知晓默默  行囊塞满流年痕迹  同行旅客知，念，想，忆   献给你，安大旅途   --------------------------------算是一点念想------------------------------------------------------------------ 对于创意，毫无疑问是一个关键点。 可以借鉴“舌尖上的宿舍·泡面篇”。  每个大学宿舍，都有泡面，可是每个宿舍泡出来的味道，却各有千秋。 
