question,answer
清华北大的研究生和本科生差距到底多大？,换个角度来和题主讨论一下  私认为，考上清华北大，在中国，大概三类，极其聪明的，极其刻苦的，和比较聪明比较刻苦的。完了还有眼界，出身，从小接受的教育程度，家庭环境的影响等等。这些都很重要，不会一蹴而就。  环境对一个人影响极大，一线城市家庭条件优渥的小孩和偏远农村家庭的小孩从小就不是一个起跑线，这个叫信息不对称。前者上一流高校的可能性远远大于后者，即使都上了清北，十几年来环境给予两者的积累都是千差万别。  那么假设我们撇开这些不看，举个简单的例子，很多考研的学生都是因为觉得本科出生不好，希望上一个更好的平台，找个好工作也好，科研也好，是在要求进步。  这时候很多人说，如果当年有这个学习劲头，我也可以扒拉扒拉。。  抛开这种想法不看，所以我想说得是，中国人经常用的一个词：开窍。  在中学阶段，甚至小学阶段，就有一些人，目标明确，高度专注，对于诱惑有极高的抵抗力，知道自己要什么，怎么做才能实现，并且切实的付出行动。私认为不论是之前提到的三种情况的哪一种，都或多或少具有这样的品质。  所以这个才是最重要的呀，或许可以认为题主，开窍迟了一点，但是这个不影响你接下来的研究生生活，人生如戏，本来就是不同的角色分配给你，你不能决定出身，至少可以选择以后怎么走。  所以不要纠结旁人怎么说，没有教养的人都不要允许他出现在你的生活里，找到你自己的人生目标，坚持下去就好。  共勉～
北大清华的毕业生都去哪儿了？,家姊，北大生物系种蘑菇专业（自称）本科，同专业哈佛Phd，毕业找不到工作又去搞了个计算机Phd，现硅谷某公司码农。姐夫和她经历相同，俩人生了仨儿子，正在努力生闺女。  三叔叔，清华给人炼钢专业（自称）本科，人大硕士，毕业后专注于倒钢材，去年因为给某非洲国家搞了大量劣质钢材，进去了。  新华社大院摊煎饼的是清华化学系的，八十年代书呆子大学生，除了考试什么都不会的那种。  #专业黑清华二十年#
如何看待北京大学给持刀入课堂的校外人员龙江豪北大网关和匿名发帖女生个人信息的做法？, 总结一下学校干的事情：   割地：龙博士免费住中关新园  赔款：学校赔钱  “五口通商”：撤除黑名单让龙博士自由行动  “自由贸易”：开放网关与电子资源  “诉讼之事”：交出妹子信息任由诉讼   啊，大家不要误会，左边那些我说的是《南京条约》。 
在北大、清华都读过是怎样的体验？,在清华读了8年了，在北大读了3年。 莫名更喜欢北大，可能双学位的心态更放松吧。   每天晚上从清华西门骑车到北大东门到二教或理教等待上课，莫名的一种幸福感。还记得在隔壁的最后一门考试是计量经济学，走出三教的时候正遇上一环落地的大彩虹，匆匆穿过拍照的人群感动在北大求学的三年。  第一次和男朋友手拉手也是在北大，因为那时候小，顾虑多，在清华不敢太张扬，就跑隔壁去逍遥快活，至今仍记得手抓饼和糖炒栗子的滋味。  每年都能收到国发院邀请校友返校的邮件，看到的时候心里都觉得暖暖的，也许等明年从清华毕业也会有一样的唏嘘吧。  很私人的一篇回答，谢邀。
北京 400 分能上清华北大，是不是事实？,回答建议修改：不友善内容
清华北大有很渣的学生群么？,学渣，排名不贴了，倒数10%以内，就是没挂过。。。p大数学，一个只有转入没有转出的院系。 确实不算努力的主，高中玩着玩着就进了P大，大一玩着玩着也没挂科，之后就算尽力保持不挂科了。。。真的是拼命保持没挂科，并且像我这样的学渣，没挂也确实是奇迹。 其实我还是相信只要从p大理科院系爬出来，都不差。因为爬出来就好难。那年入学我学号70+，毕业证号却是50+，也就是之前有20个人左右没有毕业。同样地，班上49人，照毕业照的只有38人，剩下的11人就是没能毕业的。寝室4个人，我上铺就没有学位。 我还是想告诉后来人，不管如何，一定要让自己毕业。我不知道现在在北京什么样的生活水平才是足够的，说说我自己的情况：毕业其实没几年，同学博士的也没毕业，工作算是压力比较大的，但是在平常花钱大手大脚的情况下，每年工作大约能存下50万，现在出国旅游买点啥的压力也不大，给父母买表买包啥的也很随意了。虽然没房，也就是暂时还没想买。 还是一句话，少年，再渣，一定要毕业，毕业了就足够了
如果有课表，能溜进北大蹭课吗？, 作为一个北大学生，尤其是一个热门专业的学生，更要命的是我双学位还是中文，不是我吹，北大什么样蹭课的人我没有见过……  然后我就对蹭课这一行为提一下建议吧，希望能对您以及其他想要到大学蹭课的人有点帮助。  首先，就北大而言，只要不是小班教学的课程，大多都可蹭。很多打印店都有卖课表和热门课程课件资料的的，种类齐全，更新也快，不得不说这个市场确实很大。至于门禁问题，北大门禁确实有点严，但校内既然存在那么多长期蹭课的，就说明他们一定有某些解决办法。其实北大对于蹭课这一现象，还是很宽容的。  而我想说的，却是“为什么要蹭”、“蹭课能带来什么”的问题，这些问题比“怎么去北大蹭课”更有意义。  第一，即使再水、看起来再有趣的大学课程，他首先是给全日制大学生开设的专业课程，即使是通识课程，也不会是像百家讲坛那样的讲座，听听就罢，也会涉及到一些专业的知识。  很多蹭课的人，都是抱着“增长见识”而不是“学习知识”的态度来蹭课的，甚至以为听听证券投资、公司理财、房地产之类的老师都是讲段子和故事的，结果听老师讲了一节课公式理论和计算题就开始懵逼。这么说吧，但凡你听得轻松的课，都是没有听的必要的。无论讲课再有趣的老师，真正涉及到比较高深理论的部分，也没办法讲得不枯燥。   第二，课程需要连续听，隔三差五听一两节，是没什么卵用的。然而，就连选课的全日制本科生，都会因为各种情况不想去上课，更何况一般蹭课的人，但凡有点别的情况估计就不来听了。如果你不能保证自己能够连续听下来一个学期，我建议最好还是不要蹭了。   第三，很多课程真正让人收获的地方，不在于老师课堂讲授的内容，而在于课下的作业和考前系统性的复习（突击）。有些东西是理论，不做题不做案例根本吃不透。有些知识是死知识，你不抄抄背背，听过一遍基本上等于白学。然而大部分旁听的人，既不做作业也不看case，更不会复习和考核，就指望着上课听老师走马观花讲一遍来学知识，其实这是对自己的时间的浪费。   第四，就是“规矩”。既然是旁听生，自然地位就“低人一等”（我是说所有旁听生，包括本校旁听自己没有选的课程的学生，不带歧视）。因为你的存在就是挤占选课学生的资源的，所以一定要有“自觉”。如果老师明确强调过不欢迎旁听生，那自己就不要去听了。上课的时候尽量坐后排和边上，课堂发资料等选课的同学都拿完如果有剩余再去拿，听不懂的地方可以下课单独问老师或者问旁边的同学，千万不要上课擅自问一些莫名其妙的问题（很多课程，尤其是高年级课程，老师是默认大家都有某些知识背景的，而旁听的同学很可能缺乏必要的知识基础，经常会问一些老师同学听起来很奇怪的问题）。   为什么会有人讨厌旁听生，就是因为很多旁听生不守规矩还喜欢刷存在感。为什么有的老师会不欢迎旁听的同学，就是因为他们想来就来想不来就不来，课堂资料总是不够，经常问一些扰乱课堂秩序的问题。很多非常负责任的老师，是会很认真对待旁听生的。比如我曾经担任过一门课的课代表（不要纠结大学为什么会有课代表……你就理解成一门需要经常收发作业的课），老师让我把旁听生也统计在内，然而他们三天两头旷课，作业从来不写，过了半个学期自己就消失了。正是因为这样的人太多，所以一般教授都比较烦旁听生。既然自己是旁听生，就好好做一个存在感很低的旁听生，千万不要刷不必要的存在感……   还有一类旁听生，是粉丝式的旁听生。曾经一门课，我下课想问老师一个问题，等着前面N个找老师签名的人拿完签名，我把讲义递给老师的时候，老师下意识地想往上面签名……我还能说什么……这类旁听生，不是我说，难道你们真的不觉得打卡式的听课是对自己生命的浪费吗？   我见过很用功的旁听生，印象最深刻的是中文系的一门课，由于我是双学位学生，自己也就打算划水过的，可是那位姐姐（或者说阿姨），从来不迟到早退，认认真真从头到尾做笔记，下课同学去问老师问题，她都会站在旁边认真听老师的讲解。等到最后复习的时候，由于我划水比较严重，还借过她的笔记……这种旁听生真的也不少，对于他们，我是很敬重的。   我自己也试着去旁听过一些课程，大多都懒得做作业、没时间读推荐文献、一有别的事情就不去听了。就算真正从头到尾坚持下来的课程，由于没有期末考试的压力，其实并没有真正学到什么实用的知识。   说白了，旁听其实也不过如此，蹭过北大的课，有时候不见得比“去北大旅游过”更增长见识。去未名湖旅个游还能照个相存档，旁听一门课就算坚持一学期，也没人给开个证明，真的学到多少东西，我想自己也心里有数。如果真的想学某些领域的知识，我建议去报个资格考试，时间短见效快而且回报看得见。   简而言之，蹭课可行，但不值得。生命有限，值得做的事情有很多。     ——————————————————  北大对于旁听生是非常宽容和包容的，几乎所有课程课表对外开放，讲座信息对外开放，校园虽然有门禁，但持身份证登记就可以进去。去听课的话，课程材料所有人都可以领（但一般会提醒先让选课的同学拿），教室座位不够的话，学校提供凳子可以自己搬凳子坐走廊。有的讨论比较多的小班课，讨论和案例讨论分组，老师一般都会把长期旁听生算进去。中文系有一门诗歌写作的课程，经常有外校同学不听课，就为了把自己写的诗歌给老师改，老师都收了。   排斥旁听生的老师，主要是因为课程不适合旁听生，比如小组讨论和project很重的课，选课学生是要算成绩的，旁听生不负责任的话会影响整个小组的成绩。别说旁听生，就是中途退课把小组烂摊子扔给队友的学生，大家都是很不爽的。旁听生一拍屁股走人，让选课的同学怎么办？让老师怎么办？   我不知道学校还应该如何再优待旁听生大家才满意。靠自己意淫北大排斥外人，然后悲呼，北大已完，北大精神不复，北大已经配不上北大这个称号了，北大老师学生都是人渣……请您去所谓的世界一流大学旁听好吗？不怕北大老师把你教坏了？ 
如何看待北大生涉嫌弑母事件？,-----有个人弑母了！总编我们怎么写稿子？ -----赶紧查查他的背景 -----糟了，不是富二代 -----继续查 -----好像不是北京人也不是上海人 -----再看看，留过学没有 -----也没有，都在中国念的书 -----太可惜了！继续查，看看他是研究生或者博士生吗 -----都不是，诶等等，哈哈哈！北大的！可让我逮着你了！ -----这个好！就发腾讯和网易新闻！小伙子有前途！这个月多50%的奖金！ -----谢谢总编！  ------------------分割线-----3月5日-------------- 谢谢大家点赞 有不少朋友怀疑我在抖机灵，我只能说有一点抖机灵的成分但我更多是想表达自己的看法和心情。 另外给一个传送门 如何评价北大学生「吴谢宇涉嫌弑母」事件？ - 北京大学 ，这里面有当事人的朋友（看起来应该是真的朋友不是瞎编的）的分享（点赞最多的那个答案），可能是更接近真实的更客观理性的提供了一个视角去理解这个人和这个事情。
如何看待周孟佳降分219保送北大？, 据通俗电影流传，科举时代，有文状元与武状元，术业有专攻，武状元凭功夫，去到武校场打遍众人无敌手，文状元妙笔生花殿试拔个头筹  最昏聩的皇帝，恐怕也不敢下一道旨：武考生，凡精通少林七十二艺者，可以跳过贡试，可以优先参加文状元选拔  比喻虽然有些牛头马嘴，但这种体育特长招生，跳板式的投机太多，不见得是个好政策  当年华罗庚特招入校，是因为他出众的数学才能，招入校内，定向的仍然是数学，这种，情理中无可挑剔，的确是给了特长怪才们一个更大的发展空间  现在，这位同学降分高达二百多，以跳健美操入校，却可以自由选择专业，她挑了法学，那么，特长招生的初心，到底是什么？  一个跳板？一个进入名校名专业的梯子？   体育特长招生，如果不对专业进行限定，这种原本以选拔一批特殊人才为出发点的政策，事实上已经彻底远离了最初的宗旨 ：  筛选特殊突出才能的学生，让他们在特长的领域中，继续深造，达成更大的成就  这篇新闻全稿的表达重点，其实十分怪异，全文大量的篇幅，都在强调另一件事，反复强调体育特长之路，有多么辛苦。不过，这种轻浮自夸，对普通考生的辛苦与付出，是一种不知所谓的轻蔑，一种变相的污辱  高考一分之差中，站着几万个人的命运  这219分，对普通考生而言，是一个根本不可想象的天文数字  艺考生们在选择专业的时候，往往有明确的限定，往往与艺术方向紧密相关，偏偏这个体育特长生们，巨幅降分之下，还可以纵横所有的专业，抢占其它非体育专业方向的指标  假如北大有全中国最好的体育系，我双手赞成她保送体育系，物尽其用，人尽其才，但你要给她一个无限制的专业选择权  有一句话，怎么讲？MMP的！  这是在给高考掌嘴，不是给北大长脸 
北大红，浙大蓝，清华紫哪个更漂亮？为什么？,我仙绿无敌 群众基础好 
清华北大是否已经成为官富二代的聚集地？,  数据  是最有力的答案。  《中国社会科学》曾经刊载了一篇题为《无声的革命：北京大学与苏州大学学生社会来源研究（1952-2002）》，论文如此指出： 上世纪90年代后，北大学生中，  干部子女 占比呈上升趋势 ， 到1997年，该比例达到 39.76%  ，首次超过专业技术人员子女，更远超工人和农民阶层。北大学生中，来自 干部家庭的比重超过其他阶层 。   该项研究基于对1952年至2002年北京大学和苏州大学 近50年间的学生档案，对学生的社会来源做了详尽分析和研究 。   　　该项研究选取了北京大学和苏州大学两所大学，前者代表 全国性精英大学 ，后者代表 省属精英大学 。这项研究显示，1952年至2002年，北京大学和苏州大学生源中，干部子女所占比例总体上呈提高趋势。   　　就北大学生的家庭背景而言，1952年，干部子女占11%， 1997年升至 39.76%  ；但在苏州大学，干部子女比例则从文革前的8%，上升到上世纪90年代的30%以上。到2002年时，上述两所大学中， 干部子女的比例最多 ，超过专业技术人员子女和工农子弟。   　　该研究同时显示，恢复高考后，北大生源中， 农民子女比例有所下降 。1985-1994年，北大生源中，农民子女比例平均为21.40%，而1995-1999年，该比例降至15.02%。不过，苏州大学生源中，农民子女比例仍保持基本稳定，并一直高于城市生源。  下面看一下大家关心的  家庭职业统计图  ：  上图看起来可能较为费力，而且单纯职业的分布是一个绝对数据，并不能表现出某职业中子女享受精英教育的比例数据。  可以借助  职业辈出率  进一步考察两校学生家长职业的变化情况。 这一指标能更为精确地反映各职业群体在精英教育系统中的比例变化。  备注：职业辈出率的计算公式是： 高校生源某个职业的子女的比例 / 该职业的人口比例 。 在1995-1999年间，干部子女在北大的辈出率为  23.04  ，即是本职业总人口比例的   约 23 倍  。专业技术人员子女的辈出率在北大居第二位，有所下降，从  9.04  降到  6.88。  农民子女的比例远低于农民职业人口在全国人口中的比例，且北大农民子女的辈出率有所下降。  最近十年的数据并没有找到，但是在十年前，这个现状就已经初露端倪。   代际优势传递  是肯定存在的，家庭拥有资源的多寡，一定程度上会影响到子女的教育成就。虽然优质的教育资源提供了更好的助力，但也绝不能因此忽略绝大多数清北学生奋斗与拼搏的内因。  高考一直在努力做到公正公平，让每一个普通家庭的学生，都有机会通过自己的努力，前往理想的学府。（至于特殊录取方式，大家自行感受，我不了解所以并不谈。）  中国教育的目的之一，是平等基础教育，打破高等精英教育被社会上层子女垄断的状态，而在这一方面，任重而道远，中国教育需要走的路还很长。
如何看待北大最帅双胞胎苑子文和苑子豪？,20161102再更新一段： 今天突然有几个点赞，我一看原来是有大V喷兄弟俩了。跟风蹭热点更一小段。 各位兄弟俩的粉丝，看好我的观点： 1. 我尊重兄弟俩为生存为名利的努力，当然这种努力必须建立在合法的基础上，目前好像被扒出来源本初见不合法， 如果此事为真，那我坚决支持查处这个违法品牌，且对兄弟俩和其幕后的操盘手给予法律处罚 ； 2. 无论源本初见合不合法，我都对兄弟俩这种靠卖腐、所谓的“颜值”吸引未成年少女然后卖高价化妆品的赚钱行为极其不齿； 3. 少女们可以找些励志偶像，但还是多读书比较好，买些矫情的青春伤痕书籍对你的未来半毛钱乱用都没有； 4. 少女们买化妆品，不懂的话请买商场开架的廉价化妆品，不要在网红的高价低质的化妆品牌上浪费钱、浪费你宝贵的青春肌肤。  以及这里把评论里面我提到的几个点搬到正文里面来： 1. 兄弟俩是天津考生，靠的是天津现在已经停办的买房就能落户的蓝印户口，曾经这种制度吸引了大批河北籍优秀学生逃离高考炼狱河北来到全国高考最轻松的省级行政区【没有之一】天津市读高中参加高考， 当然能在天津考上北大也是本事。 不过搜了一下兄弟俩的微博，只字未提过自己的母校天津杨村一中，我【姑且恶意揣度】是不希望让粉丝发现自己从小就有买天津房拿天津户口参加天津高考的家庭实力而毁掉粉丝心中完全屌丝逆袭的形象，不然真的是说不通大批粉丝都不知道俩人原来不是河北廊坊高考的现实； 2. 兄弟俩确实保了各自院系的研究生，但是北大除了个别院系如光华、中文、历史，保研其实挺轻松的，尤其对于兄弟俩，拥有学生会主席的身份，保研就是跟老师喝次酒送点小礼物的简单小事，再不济也能有学工老师保研、支教保研的路子； 3. 至于兄弟俩怎么拿下学生会主席的呢？兄弟俩既然刚进北大的时候已经小有名气，自然容易在学生会中崭露头角，也容易被高年级的师兄师姐栽培，【学生会办活动拉赞助也方便啊】。做了校会一年部长之后，社会系和国关这类社科院系，一般学生会主席都是学工老师钦定，这个时候兄弟俩肯定是有优势的。至于兄弟俩具体的领导水平如何，兄弟俩在大二做校会部长一年留下的名声都不算很好：弟弟我不是特别熟，哥哥可是连自己的接班人都不能钦定，在校会内部权力争斗中完全败下阵来。哥哥校会文艺部长任内主办的北大最重要学生活动——十佳歌手大赛更是在决赛前两周传出主赞助商撤资的消息【风传是哥哥和时任校会主席联合掏了几十万填上了窟窿】，整场赛事组织也相当混乱，几乎是近些年风评最差的一届十佳，足见其管理水平； 4. 作为曾经的熟人说几句没有证据的话，哥哥有部分课程的部分作业是让学生会的弟弟妹妹们帮写的，写得不满意还会骂，科科。  ----------------------------------分割线-------------------------------------------------------- 2月21日再更新一段： 有粉丝指出这条微博是公司年会做游戏，所以并不是特意拍来卖腐。 我当然不是不知道是公司年会做游戏，做游戏没问题拍照也没问题。但是把这种照片发出来？excuse me？ 拿这个开玩笑也好做营销也罢，我这种对LGBT保持政治正确的不反对的人都觉得是对LGBT群体的不尊重。 2月8号更新： 我不反同，但我想说，这条微博让我觉得恶心。  作为一个曾经自认为跟大哥关系还好的人，只想奉劝一句，不知道你们觉得这种靠刷低下限来博取无脑粉丝欢心、赚无知小女孩钱的商业模式能持续多久，不求站着甚至躺着把钱给挣了，跪下可以，请别舔。 ----------------------------------分割线-------------------------------------------------------- 8月3日更新： 这答案成为了我在知乎最高赞真是羞耻。 又看到有些同学站出来维护自己的偶像了这我能理解，我也觉得你说得很对，不了解本人无从得知本人就应该怀着好的想法去看待。 不过毕竟我还是跟两兄弟真的日常接触过一段时间呢。世界可不是像微博那样美好呢，就说这些吧。 再次说明我的态度，两兄弟走到现在虽然有很大很大的运气成分，但个人的努力依然是值得尊重与敬佩的（尤其在两人天分在北大并不能算出众的基础上）。但是我不赞同这种一定程度上可以认为是在消费见的还不够多，心智尚不健全的初高中少女粉丝的赚钱方式。 人各有志，我不是说葡萄酸。  4月19日更新： 这个回答最近突然多了几个赞，可能也是被人看到了吧。 如果又觉得我说的不妥的，欢迎打脸。  3月20日晚上更新： 楼下有答案表示两个人是传播梦想的力量，传播正能量。 我不否认两个人的微博啊，书啊，电视节目啊，都是所谓的“正能量”。 但其实那只是鸡汤，熬得还半生不熟的鸡汤，只会给某些高中生一些虚幻想象的鸡汤。 甚至，目前这鸡汤，跟很多 营销号 一样， 只是为了留住高中生粉丝，只是为了宣传自己的书，自己创办的化妆品品牌 （很明显目标市场就是高中女生，我完全不能相信有大学及以上的女性会去选择使用这款化妆品）。 我的观点很简单，两兄弟最初可能只是被媒体炒作出来的所谓“最帅”双胞胎（北大内对二人颜值还是有很多不同观点的，当然这句话并不是这两个人的存在感话题性很强的意思，两个人出了社会国关，出了文艺体育，几乎 没有任何存在感 ），但现在不过只是商人而已，只是在消费“梦想”“青春”“奋斗”这些概念而已，而且是对着高中生进行消费。 最后，我对两个人并没有任何否定的成见，我尊敬两兄弟，他们在校会的政治斗争充满艰辛，两个人都是非常努力的人，不然无论媒体怎样炒作，也不能有今天这样的成就。他们用尽身边一切资源，是合格的商人，是真正意义上的“精致的利己主义者”。我非常尊敬他们。 但请别，说他们在传播正能量，那就太侮辱他们了。 ----------------------------------分割线-------------------------------------------------------- 时势造英雄，媒体造鲜肉而已。 俩人当年凭借双胞胎身份，靠着鲜肉的脸型，被媒体一路捧红。炒作成为红人之后开始搞代言、出书、自创化妆品牌（我就不说校内多少人说他们俩娘了，创业都是化妆品） 目前都是各自院系学生会主席，但私以为这与媒体曝光度高、资源多也相对比较有钱很有关系。日常在校内人气其实相当一般。各自的学工道路也满路荆棘。 当然背后辛酸故事太多，不方便评价。此处用上那个精致的利己主义者的词恐怕不为过分，确实是能够充分利用资源达到个人价值的实现的人。
北大事件中的龙江豪是谁?, 一个努力上进并喜欢展示自己的努力上进、认为努力上进让自己变得很厉害了、偶尔发现别人眼中的自己可能跟自己展示的自己不同、当自己眼中的自己和别人眼中的自己发生偏差时坚持自己看法、坚持自己看法到前后不一的人。  1、努力上进且喜欢展示自己的努力上进              2、认为努力上进让自己变得厉害了：“我可是个角色”                      3、偶尔发现别人眼中的自己可能跟自己展示的自己不同        4、当自己眼中的自己和别人眼中的自己发生偏差时坚持自己意见：我表现得让别人觉得我持刀威胁，但是我没有持刀威胁              5、坚持自己看法到自己前后不一：多功能刀具=指甲刀         
北大本科与普通大学本科北大研究生哪个好？,最近考研对这方面有些关注，所以想说下自己的看法。  同意楼上所说“高考能考北清的真的是看天赋，一般人根本一辈子没机会达到那个高度。”这里面除了从小保持的良好学习习惯，更多是和家长能提供给你的教育环境，入学环境，学校水平老师水平息息相关。你可能会说小县城农村也有考上的，抱歉，那根本不是大多数，更不是一般人。即便家庭一般，个人也是不一般的，这要求比家境良好的更有决心毅力，以及执行力，对知识的参透领悟能力。所以清北的大多数人在出生时就比一般人高了几个台阶。这无可厚非，人各有命。  好在的是社会给你第二次机会。让你有更大的希望进入北大。 清北本科说是天之骄子个人认为根本不为过，集聚国内最顶尖的教学资源，地理优势。但我个人认为最重要的一点是清北的人值得这一切。 牛逼的本科生毕业后大都选择了国外名校，当然也有保研的。剩下的名额就是你可以冲刺的名额了。对比高考的几十万大军，清北的考研人数真是良心。基数小，概率会大一些。剩下就是靠自己的努力了。  大多数清北研究生确实就是冲着名校牌子然后好找工作去的。但是这也没什么说的，四年本科下来，年龄大了进入社会确实要考虑工作问题。我认识的一研究生学长，考的学硕，进了北大门的两年研究生生涯一直在刷实习，心思也根本没有在学术上面。最后找到了一份满意的工作。但学术上面他自己也说一直在吃老底。  然而本科生就不一样了，也是偶然认识了一位北大本科生。见识了人家才知道什么叫人和人的差距比人和狗的差距都大。他是理科生，但见面对于文科方面知识比我文科生都擅长，聊天的时候也能看出来他对他的兴趣爱好钻研的地步很深…学术方面也很有造诣，已经去美国名校读研了。在知乎相关北大问题里查看其他人的答案也能看出那种人，早已经超越我们同龄人几个台阶，对知识研习的广度深度领悟能力等等。私以为，大多数年长的也没有他们这般认识。  我觉得从这种人身上更多的能看见“情怀”。看他们任性的在自己所热爱的领域驰骋翱翔，偶然瞻仰下就感受到了什么叫“蔚然而深秀”。  题主，我之前也是高考失利，即便我为高考付出了我全部的身体和灵魂，努力的程度真的有些发指，怎么说，除了我睡觉剩下的每一刻都在学习。然而还是天不遂人愿，题主，看开些，我有个校友考北大考了八年，这真的不是一般人想考就能考上的。 而我抱着高中前那种努力心态认为自己大学同学和自己不是一个层次的，心高气傲，认为我一直和名校的人是一个水平的，然而真正的认识名校人之后才明白自己的天真幼稚和可笑。我一直天真的认为我不属于我所在的圈子，但时间和客观事件都是公平的，我之所以仍在我看不起的圈子里的原因就是因为我很弱，不是一般的弱，我就应该在这样的圈子里。  但是好在我们有改变的能力，人生从来都不是一个百米跑。我知道我成为不了他们，不论是自身天赋不够努力不够还是家庭不够的原因促成，但我想无限接近于那些同龄中的佼佼者。所以我也是打算考研。  题主，如果你真心打算考研的话，劝你在大一大二就提早了解关于北大考研方面的信息，想考什么学院，就业方向，数学是不是应该早早准备等。不要相信传到桥头自然直的屁话，生活永远就是在此刻。 活在当下。  愿上天善待每一个不甘平庸的灵魂。 每一个看似不切实际的梦想都值得努力奋斗，并使之实现。
如何评价北大思修课上某女生的言论？,现在安安静静当个loser被剥削都不行了，还要被人指着鼻子骂没理想。  我的理想是消灭剥削，砸烂资本家的狗头，说了你又不愿意听了。  80%的loser承担着世界的不公，被社会磨平了棱角，自甘自愿被压迫，你不想着怎样用新的道德标准来洗脑他们反而还要骂醒他们？  真要有一天全球赤化，红旗满地你才开心？
清华北大的学生找工作真的心高气傲吗？,没有，像高盛、大摩、瑞银、巴克莱、巴黎银行、德意志银行、摩根大通、麦肯锡、波士顿、贝恩、华兴、涌金、KKR、银湖这些企业，以及所有可以解决北京户口的国企央企来做宣讲的时候，北大清华的人表现的像狗见了肉包子一样……饿虎扑食、狼奔豕突、垂涎三尺，怎么形容都不为过，哪里有一点点傲气 ----- 主要是给的待遇没有超过装孙子的心理成本。
在北大清华上学是怎样的体验？,考上觉得自己牛逼，进来觉得自己苦逼。北大看清华呆逼，清华看北大逗逼。  毕业以后发现自己穷逼，但多年以后才意识到那几年没读书或者只读书都是傻逼。
高考选北大还是清华的最后一刻，是什么原因让你下定决心？,小的时候我就想，我要上清华，但少年顽皮，还不明白清华两个字的含义  小学调皮捣蛋，性格顽劣，交了择校费上了本地的二流初中，也许是自恃聪颖的缘故，在尚不知责任为何物的年纪里，很是不知天高地厚地把清华挂在嘴边  初中又玩了一年，后来因为一些事情幡然醒悟，初二初三认真学，一档考上了本地的最好的高中，编班进了强化班，想着也许离清华更近了一点  高一时候班里就做了块目标板，我写上清华大学，经过中考我大概明白清华这两个字并不是那么轻松的字眼，如果依然以轻浮的眼光去仰望它，恐怕我是不配谈起它的  尽管如此，那时的我仍然不是那么明白，对于我这样普普通通的高考考生来说，那座北方的园子到底意味着什么  因为编班考试考得不错，得瑟了一阵，高一一开始考了班级倒数，半年后大概稳定在年级一百名（一千多人的年级）  那之后主要就是搞竞赛，停课之前的成绩就是清北不足南大有余，停课学竞赛结果跪了之后大概又回到年级六百多名，两语半年没学的报应  扯个犊子，当时某主任鼓舞我搞竞赛，因为“你可能再下功夫学两语也提高不了多少了”，还别说真戳我心里去了，于是才心安理得地停课  哦对，我是江苏考生，只有语数外算分  竞赛结束后颓废了一个月，挺感谢当时的班主任和几个老师的鼓励，不然估计真要废了  高三上学期结束，成绩又稳在了一百名  高三下学期过半，稳在了五十名  高考前一个月，基本前五  后来领军拿了降分，当然这又是另一个故事了  至于现在  我在北京读大学，清华大学  高一时候写下的目标，这一定就是三年，其间风雨，虽不可尽数，仍历历在目  所以对于我这个平凡的人来说，并不存在选择北大还是清华的问题  有一种向往，是从出生的时候开始就会萌生，到抵达的时候才明白它真正的含义，是从对自己懵懂无知的忏悔而开始，到以平起平坐的姿态庄重地仰望而扎根  我相信这是种缘分，即使不足以称得上命中注定，也是一种“我终将属于你”的憧憬    这是当时查到录取结果时候装逼发的说说  另外，去年来北京考领军，是我人生中第一次进入这个园子  幸运的是，那不是最后一次  总算没有错过你
